image,vehicle_type,plate_text
4a907dd7abf4d097.jpg,car,2219e59
4a907dd7abf4d097.jpg,car,2219es9
4a907dd7abf4d097.jpg,car,N/A
4a907dd7abf4d097.jpg,car,N/A
Cars234_png_jpg.rf.91842192d7526760bbf35e6883c3c7e3.jpg,car,IM4U 555
9ceaa1678a425439.jpg,bus,CENTKE
9ceaa1678a425439.jpg,car,N/A
3285a0aafe88486d.jpg,car,26
quandoi83_jpg.rf.a1da42900d8ed04bcc0a112b548920f2.jpg,car,N/A
quandoi83_jpg.rf.a1da42900d8ed04bcc0a112b548920f2.jpg,car,N/A
quandoi83_jpg.rf.a1da42900d8ed04bcc0a112b548920f2.jpg,truck,N/A
4bde684e67119b10.jpg,truck,NLiS
b2b5501537dfcb07.jpg,car,DGSI119
b2b5501537dfcb07.jpg,car,DIGSg
b2b5501537dfcb07.jpg,car,N/A
b2b5501537dfcb07.jpg,car,N/A
boderquandoi89_jpg.rf.1417666532965ba494b1cfc4a301d7bd.jpg,car,N/A
b440586e7a482024.jpg,car,N/A
b440586e7a482024.jpg,car,N/A
b440586e7a482024.jpg,car,N/A
b440586e7a482024.jpg,car,N/A
b440586e7a482024.jpg,car,N/A
b440586e7a482024.jpg,car,JESUS CHRIST
b440586e7a482024.jpg,car,N/A
quandoi11_jpg.rf.46d1a173cf1ab205d3f2b645208280bf.jpg,car,N/A
quandoi11_jpg.rf.46d1a173cf1ab205d3f2b645208280bf.jpg,motorcycle,N/A
CarLongPlateGen2844_jpg.rf.300a2b95d804a23e1dc63d4d0c7cbadb.jpg,car,EIF.06948
CarLongPlateGen3055_jpg.rf.52f69f5c2afda719afeb645ae5bd0b6d.jpg,car,~Daedr 
0b71cca3d76bbedb.jpg,truck,Don
0b71cca3d76bbedb.jpg,truck,e
0b71cca3d76bbedb.jpg,car,N/A
0b71cca3d76bbedb.jpg,car,Fbr
f9b895b3e0641d61.jpg,car,N/A
f9b895b3e0641d61.jpg,car,N/A
f9b895b3e0641d61.jpg,car,N/A
f9b895b3e0641d61.jpg,car,N/A
f9b895b3e0641d61.jpg,car,N/A
f9b895b3e0641d61.jpg,car,N/A
f9b895b3e0641d61.jpg,car,N/A
f9b895b3e0641d61.jpg,car,N/A
f9b895b3e0641d61.jpg,car,N/A
b96193478f1b2035.jpg,car,W
b96193478f1b2035.jpg,car,N/A
b96193478f1b2035.jpg,car,N/A
2df2af350eaae663.jpg,car,N/A
2df2af350eaae663.jpg,car,N/A
Cars427_png_jpg.rf.104ce68b2680d3c4054658bcbaacda9a.jpg,bus,N/A
256f1d5a03a0ec47.jpg,car,N/A
256f1d5a03a0ec47.jpg,car,N/A
CarLongPlate192_jpg.rf.e9d4387d0d8891cc23c87129dcd3b956.jpg,motorcycle,6i490908
abc197288479240c.jpg,car,N/A
abc197288479240c.jpg,car,N/A
abc197288479240c.jpg,car,N/A
abc197288479240c.jpg,car,N/A
abc197288479240c.jpg,car,N/A
Cars340_png_jpg.rf.16692ff8d287a06784fc9f5642082d60.jpg,car,VXeew
8116824070ad6f75.jpg,car,N/A
8116824070ad6f75.jpg,car,N/A
8116824070ad6f75.jpg,car,N/A
8116824070ad6f75.jpg,car,N/A
8116824070ad6f75.jpg,car,N/A
8116824070ad6f75.jpg,car,N/A
8116824070ad6f75.jpg,car,N/A
8116824070ad6f75.jpg,car,N/A
8116824070ad6f75.jpg,truck,N/A
8116824070ad6f75.jpg,car,N/A
8116824070ad6f75.jpg,car,N/A
0195e8a172eddc29_jpg.rf.49d1fd0f05e8647971c55a52ed18922d.jpg,truck,273S/98 =
014ba19f37c0a46c_jpg.rf.64bd227aaf77d23ca0d994c4099e5a4e.jpg,car,N/A
014ba19f37c0a46c_jpg.rf.64bd227aaf77d23ca0d994c4099e5a4e.jpg,car,186 620654
2b75656ec2a7ef8a.jpg,car,N/A
2b75656ec2a7ef8a.jpg,car,N/A
2b75656ec2a7ef8a.jpg,car,607 #LT
CarLongPlateGen292_jpg.rf.12cd12b23072d834ef03f3c8865f87ca.jpg,truck,N/A
56003ca89be446f6.jpg,car,N/A
56003ca89be446f6.jpg,car,Lcrstri
56003ca89be446f6.jpg,bus,7274837
1191454739a48d88.jpg,car,N/A
1191454739a48d88.jpg,car,N/A
1191454739a48d88.jpg,car,N/A
2692481c95e0c12a.jpg,car,N/A
2692481c95e0c12a.jpg,car,N/A
2692481c95e0c12a.jpg,car,N/A
2692481c95e0c12a.jpg,truck,N/A
2692481c95e0c12a.jpg,car,N/A
2692481c95e0c12a.jpg,car,N/A
2692481c95e0c12a.jpg,car,N/A
2692481c95e0c12a.jpg,car,N/A
boderquandoi3_jpg.rf.0cbfd45e8db843625de19add09941f13.jpg,truck,N/A
1c34fb54c3a43bb3.jpg,car,N/A
1c34fb54c3a43bb3.jpg,car,N/A
1c34fb54c3a43bb3.jpg,car,N/A
1c34fb54c3a43bb3.jpg,car,N/A
1c34fb54c3a43bb3.jpg,car,N/A
24dac461341627a1.jpg,car,NSH e01
24dac461341627a1.jpg,car,NSH G01
24dac461341627a1.jpg,car,N/A
24dac461341627a1.jpg,car,N/A
24dac461341627a1.jpg,car,N/A
brightnessquandoi30_jpg.rf.107d212b27fa516767127f440308e97b.jpg,truck,0858H
boderngoaigiao14_jpg.rf.b93ec4526e1dc963c235ad534d092e20.jpg,car,N/A
Cars132_png_jpg.rf.854a2b11a3661a83dbed8fbd2a5e7a28.jpg,car,J4
Cars132_png_jpg.rf.854a2b11a3661a83dbed8fbd2a5e7a28.jpg,car,N/A
Cars132_png_jpg.rf.854a2b11a3661a83dbed8fbd2a5e7a28.jpg,car,N/A
Cars132_png_jpg.rf.854a2b11a3661a83dbed8fbd2a5e7a28.jpg,car,N/A
Cars132_png_jpg.rf.854a2b11a3661a83dbed8fbd2a5e7a28.jpg,truck,N/A
Cars132_png_jpg.rf.854a2b11a3661a83dbed8fbd2a5e7a28.jpg,car,N/A
Cars132_png_jpg.rf.854a2b11a3661a83dbed8fbd2a5e7a28.jpg,bus,N/A
Cars132_png_jpg.rf.854a2b11a3661a83dbed8fbd2a5e7a28.jpg,car,N/A
Cars132_png_jpg.rf.854a2b11a3661a83dbed8fbd2a5e7a28.jpg,car,N/A
Cars132_png_jpg.rf.854a2b11a3661a83dbed8fbd2a5e7a28.jpg,car,N/A
Cars132_png_jpg.rf.854a2b11a3661a83dbed8fbd2a5e7a28.jpg,car,N/A
Cars132_png_jpg.rf.854a2b11a3661a83dbed8fbd2a5e7a28.jpg,car,N/A
Cars132_png_jpg.rf.854a2b11a3661a83dbed8fbd2a5e7a28.jpg,car,N/A
a23b746c94a0f6b3.jpg,car,N/A
a23b746c94a0f6b3.jpg,bus,univoi WGIaguf
a23b746c94a0f6b3.jpg,truck,univoi WGIaguf
a23b746c94a0f6b3.jpg,car,N/A
rotatequandoi23_jpg.rf.c6124782423935eac035175077d4ebb0.jpg,car,N/A
brightnessquandoi13_jpg.rf.2264793fb1b41fa971e0b5212815272e.jpg,truck,01-16.05
c68fd09485c1c8ae.jpg,car,OLice
014a2d21a3cc8852_jpg.rf.0e51c8967c352dcfd2909884085aab55.jpg,bus,Sitexhend
ngoaigiao7_jpg.rf.b165c20c8cde057bc36c1b216e3a4c48.jpg,motorcycle,N/A
ngoaigiao7_jpg.rf.b165c20c8cde057bc36c1b216e3a4c48.jpg,car,Mii
e2a4808074970f49.jpg,truck,Ughps De5
e2a4808074970f49.jpg,car,N/A
e2a4808074970f49.jpg,car,N/A
476862955eade255.jpg,car,CD
476862955eade255.jpg,truck,CQD
brightnessquandoi54_jpg.rf.6dded005bf8b2bdeaf2f5b38eb7a3dfd.jpg,truck,N/A
brightnessquandoi54_jpg.rf.6dded005bf8b2bdeaf2f5b38eb7a3dfd.jpg,motorcycle,N/A
brightnessquandoi54_jpg.rf.6dded005bf8b2bdeaf2f5b38eb7a3dfd.jpg,truck,N/A
Cars13_png_jpg.rf.c5c82531204c7cd50b7a14605b78ec2e.jpg,truck,N/A
0045d88407bab692_jpg.rf.fc4cd45197e8d8b0ffd793271ffbeac2.jpg,car,N/A
0045d88407bab692_jpg.rf.fc4cd45197e8d8b0ffd793271ffbeac2.jpg,bus,9us
CarLongPlate729_jpg.rf.c97b6682ebf063170980916a3ee322d2.jpg,truck,wedal Jd
Cars204_png_jpg.rf.188678bce330dd479e568a8b3b20433a.jpg,bus,BYOND 
Cars236_png_jpg.rf.f6b93a0e34dadae36a971a6f4efb4ea4.jpg,car,N/A
Cars236_png_jpg.rf.f6b93a0e34dadae36a971a6f4efb4ea4.jpg,car,N/A
Cars236_png_jpg.rf.f6b93a0e34dadae36a971a6f4efb4ea4.jpg,bus,N/A
Cars236_png_jpg.rf.f6b93a0e34dadae36a971a6f4efb4ea4.jpg,car,N/A
CarLongPlateGen1913_jpg.rf.37164541f7f80b19a1899b41638f4e54.jpg,car,61005227
boderquandoi57_jpg.rf.972b61dcdd2a6b614da8473e5868e6d3.jpg,bus,N/A
2a4cc18b02b3d9dd.jpg,car,Rc
2a4cc18b02b3d9dd.jpg,car,N/A
b31a6cc81b2c6b46.jpg,car,N/A
b31a6cc81b2c6b46.jpg,car,Nele_
b31a6cc81b2c6b46.jpg,car,ISbc;: '
b31a6cc81b2c6b46.jpg,car,N/A
b31a6cc81b2c6b46.jpg,truck,N/A
b31a6cc81b2c6b46.jpg,car,N/A
b31a6cc81b2c6b46.jpg,car,N/A
b31a6cc81b2c6b46.jpg,car,N/A
b31a6cc81b2c6b46.jpg,car,N/A
CarLongPlateGen1404_jpg.rf.d4084b9d035f730956ed6e8fbc396d17.jpg,truck,G1C
003a9e99a2753141_jpg.rf.9895eb34d178a11550650801b561543c.jpg,car,N/A
003a9e99a2753141_jpg.rf.9895eb34d178a11550650801b561543c.jpg,truck,SHJBIBL
003a9e99a2753141_jpg.rf.9895eb34d178a11550650801b561543c.jpg,car,SHJBiBL
a43ed191c5e6a6e3.jpg,car,N/A
a43ed191c5e6a6e3.jpg,car,N/A
a43ed191c5e6a6e3.jpg,car,1
a43ed191c5e6a6e3.jpg,car,N/A
a43ed191c5e6a6e3.jpg,truck,N/A
a43ed191c5e6a6e3.jpg,car,N/A
a43ed191c5e6a6e3.jpg,car,N/A
a43ed191c5e6a6e3.jpg,car,N/A
a43ed191c5e6a6e3.jpg,car,N/A
a43ed191c5e6a6e3.jpg,car,N/A
a43ed191c5e6a6e3.jpg,car,N/A
9bc7681a1beb721f.jpg,car,N/A
9bc7681a1beb721f.jpg,car,052 031-7357
9bc7681a1beb721f.jpg,car,N/A
CarLongPlateGen2668_jpg.rf.408c214e51d12de44307b5f6de77c83c.jpg,truck,Jag Ald
CarLongPlate512_jpg.rf.282b55fe6d179978cc983b3cf688a058.jpg,car,61E73420
CarLongPlateGen2850_jpg.rf.658317b331bc0bf3b09c12ac13015d6f.jpg,truck,GIF 69024
07f90e174939936c.jpg,car,N/A
07f90e174939936c.jpg,car,N/A
07f90e174939936c.jpg,car,N/A
07f90e174939936c.jpg,car,N/A
07f90e174939936c.jpg,truck,N/A
07f90e174939936c.jpg,car,N/A
07f90e174939936c.jpg,truck,N/A
